127.0.0.1 - - [04/Mar/2024:08:39:01 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/patientDashboard.jsp HTTP/1.1" 200 71657
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/css/bootstrap-5.0.5-alpha.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/logo/MainLogosvg.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/css/LineIcons.2.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /image/profile1.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/shapes/shape-1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/we-do/graph-img.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/shapes/shape-2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/js/bootstrap.bundle-5.0.0.alpha-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/about/about-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/shapes/shape-8.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/shapes/shape-3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/service/throat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/faq/faq-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/shapes/shape-6.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/blog/blog-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/blog/blog-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/logo/logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/blog/blog-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/slider/slider-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/bg/subscribe-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/bg/footer-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/slider/slider-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/image/slider/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:06 +0630] "GET /Fitfinity/assets/fonts/LineIcons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:29 +0630] "GET /Fitfinity/patientDashboard.jsp HTTP/1.1" 200 71647
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:39:29 +0630] "GET /image/profile1.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:40:32 +0630] "GET /Fitfinity/patientDashboard.jsp HTTP/1.1" 200 71562
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:40:32 +0630] "GET /image/profile1.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:49:00 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 71220
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:49:26 +0630] "GET /Fitfinity/patientDashboard.jsp HTTP/1.1" 200 72051
0:0:0:0:0:0:0:1 - - [04/Mar/2024:08:49:26 +0630] "GET /image/profile1.jpg HTTP/1.1" 404 773
